customer_id,order_date,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
CUST00001,2025-06-15,107,6,2955.57,2,2,4,8,Potential Loyalists
CUST00002,2025-08-21,40,1,581.0,4,1,1,6,At Risk
CUST00003,2025-04-12,171,1,649.98,1,1,1,3,Lost Customers
CUST00004,2025-05-22,131,1,1604.04,2,1,3,6,At Risk
CUST00005,2025-08-23,38,4,2550.91,4,1,3,8,Potential Loyalists
CUST00006,2025-08-10,51,5,3770.16,3,2,4,9,Potential Loyalists
CUST00007,2025-09-27,3,1,719.33,5,1,1,7,At Risk
CUST00008,2025-08-14,47,4,2747.33,3,1,4,8,Potential Loyalists
CUST00009,2025-08-30,31,1,376.85,4,1,1,6,At Risk
CUST00010,2025-09-21,9,1,636.8,5,1,1,7,At Risk
CUST00011,2025-09-29,1,2,925.0699999999999,5,1,2,8,Potential Loyalists
CUST00012,2025-08-11,50,2,2051.63,3,1,3,7,At Risk
CUST00013,2025-07-31,61,3,1754.44,3,1,3,7,At Risk
CUST00014,2025-08-10,51,11,8130.16,3,4,5,12,Loyal Customers
CUST00015,2025-08-26,35,4,4200.93,4,1,5,10,Loyal Customers
CUST00016,2025-02-27,215,1,478.02,1,1,1,3,Lost Customers
CUST00017,2024-12-18,286,3,1699.1399999999999,1,1,3,5,Lost Customers
CUST00018,2025-06-11,111,1,329.21,2,1,1,4,Lost Customers
CUST00019,2025-09-21,9,2,1598.93,5,1,3,9,Potential Loyalists
CUST00020,2024-09-27,368,3,4487.950000000001,1,1,5,7,At Risk
CUST00021,2025-07-15,77,2,1059.3,3,1,2,6,At Risk
CUST00022,2025-09-01,29,1,454.06,4,1,1,6,At Risk
CUST00023,2025-09-09,21,1,400.98,4,1,1,6,At Risk
CUST00024,2025-09-26,4,1,481.35,5,1,1,7,At Risk
CUST00025,2025-04-18,165,7,4868.86,1,2,5,8,Potential Loyalists
CUST00026,2025-07-20,72,3,3561.3900000000003,3,1,4,8,Potential Loyalists
CUST00027,2025-07-22,70,1,2128.34,3,1,3,7,At Risk
CUST00028,2025-07-09,83,2,1489.7800000000002,3,1,2,6,At Risk
CUST00029,2025-09-12,18,8,5252.9,5,3,5,13,Champions
CUST00030,2025-09-25,5,6,3435.5899999999997,5,2,4,11,Loyal Customers
CUST00031,2025-08-12,49,1,672.95,3,1,1,5,Lost Customers
CUST00032,2025-08-28,33,3,1948.75,4,1,3,8,Potential Loyalists
CUST00033,2025-09-18,12,4,2128.09,5,1,3,9,Potential Loyalists
CUST00034,2025-08-11,50,6,3353.01,3,2,4,9,Potential Loyalists
CUST00035,2025-05-26,127,3,1369.71,2,1,2,5,Lost Customers
CUST00036,2025-09-03,27,4,1737.33,4,1,3,8,Potential Loyalists
CUST00037,2025-06-20,102,1,435.83,2,1,1,4,Lost Customers
CUST00038,2025-08-10,51,4,2104.61,3,1,3,7,At Risk
